Year,Month,Week,Day,Temperature,Humidity,kPa,Wind ,Rain ,Notes
2015,6,1,3,9,100,101.97,22,13.2,
2015,6,1,4,15,63,102.56,13,1.6,
2015,6,1,5,16,68,102.03,24,0.2,
2015,6,2,9,19,73,101.06,31,0,
2015,6,2,10,18,94,100.79,28,0,
2015,6,2,11,18,77,101.2,19,4.1,
2015,6,3,15,15,55,102.26,4,0.2,
2015,6,3,16,14,77,101.63,20,0,
2015,6,3,17,15,67,101.36,33,6.9,
2015,6,4,23,13,88,101.93,7,40.9,
2015,6,4,24,15,94,100.57,9,7.9,
2015,6,4,25,18,56,101,19,1,
2015,6,5,29,15,94,100.5,9,16.7,
2015,6,5,30,18,83,101.49,15,0.2,
2015,7,5,1,19,78,101.59,6,0,
2015,7,6,7,23,73,102.07,15,0,
2015,7,6,9,17,72,101.62,2,0,
2015,7,7,14,24,54,101.08,17,0,
2015,7,7,15,22,69,100.5,19,0,
2015,7,7,16,18,51,NI,17,7.2,
2015,7,8,22,18,94,100.19,6,0.5,
2015,7,8,23,19,78,100.54,19,0.3,
2015,7,9,27,18,94,101.9,11,7.5,
2015,7,9,28,19,100,101.5,4,4.7,
2015,7,9,29,20,78,101.24,6,0.2,
2015,7,9,30,18,83,101.37,4,0.2,
2015,8,10,4,24,78,101.18,22,0.2,
2015,8,10,5,21,88,100.95,17,3,
2015,8,11,10,21,69,101.41,20,0.2,
2015,8,11,11,22,69,101.87,17,0.4,
2015,8,11,12,19,100,100.93,19,0.6,
2015,8,11,13,18,100,101.47,2,6.3,
2015,8,12,17,23,78,101.71,9,0,
2015,8,12,18,20,94,101.7,13,0,
2015,8,13,24,22,100,101.42,13,0.2,
2015,8,13,25,22,88,101.45,9,0,
2015,8,NA,29,20,78,101.95,17,0,
2015,8,NA,30,21,78,101.62,20,0,
